Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
1,,"All security policies and operational procedures that are identified in Requirement 1 are: Documented, Kept up to date, In use, Known to all affected parties.",,Requirement 1: Install and Maintain Network Security Controls,7,1.1.1,"Requirement 1.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 1. While it is important to define the specific policies or procedures called out in Requirement 1, it is equally important to ensure they are properly documented, maintained, and disseminated. It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For these reasons, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.",Yes,,,
2,,"Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.",,Requirement 1: Install and Maintain Network Security Controls,7,1.1.2,"If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur. Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities. ",Yes,,,
3,,"Configuration standards for NSC rulesets are: Defined, Implemented, Maintained.",,Requirement 1: Install and Maintain Network Security Controls,7,1.2.1,"The implementation of these configuration standards results in the NSC being configured and managed to properly perform their securityfunction (often referred to as the ruleset). These standards often define the requirements for acceptable protocols, ports that are permitted tobe used, and specific configuration requirements that are acceptable. Configuration standards may also outline what the entity considers not acceptable or not permitted within its network.",Yes,,,
